company_permalink,funding_round_permalink,funding_round_type,funding_round_code,funded_at,raised_amount_usd
/organization/1click,/funding-round/19c77bc4b09e68e62f9a376d24115be4,seed,,26/01/2014,
/ORGANIZATION/1CLOUDSTAR-ASIA,/funding-round/f38e74da7fb8b5f810fd8ca6198fd5a5,seed,,01/08/2013,
/organization/1commmedical,/funding-round/0e09b1025dbe9c264f186481ba8fd6ad,venture,,27/04/2015,2500000
/ORGANIZATION/1D4-PTY,/funding-round/3ad3787e6b62433a3e718dfe36ad133f,seed,,11/04/2012,40000
/organization/1day1song,/funding-round/41257642b458af2f5cff9cbb542a92fa,seed,,01/12/2013,
/ORGANIZATION/1DAYLATER,/funding-round/ce29c2a36566c4ccf65b51d10ac2200f,grant,,01/05/2009,11887
/organization/1daylater,/funding-round/e054f8c25fab1d51bc270d6340a2e9b7,debt_financing,,01/10/2009,31924
/ORGANIZATION/1DAYMAKEOVER,/funding-round/d89377cfccc608719e2b0c40f1b98544,seed,,30/06/2008,50000
/organization/1doc3,/funding-round/b3ff9b4679c558996b8536b81e13d975,convertible_note,,21/05/2014,37639
/ORGANIZATION/1DOCWAY,/funding-round/487f1457d6ad83f6268c0d953ca30113,seed,,10/08/2011,
/organization/1docway,/funding-round/dbdef8e0f6193926f26ca2b87bf4765a,seed,,21/07/2015,1700000
/ORGANIZATION/1ENERGY-SYSTEMS,/funding-round/0502de190cb6fd03ba9435767080bcdb,venture,,22/04/2013,1450000
/organization/1eq,/funding-round/9926125d82350c78205e31fec25945ce,seed,,23/12/2013,900000
/ORGANIZATION/1EQ,/funding-round/a12e3c26aa06e7cbdf44b66e0f07b7a3,seed,,11/03/2013,200000
/organization/1eq,/funding-round/ed8960119b7366d2107e34774e514522,seed,,10/04/2015,1000000
/ORGANIZATION/1JIAJIE,/funding-round/466a72b849b77fb8ff163edace43e947,venture,A,01/09/2013,163132
/organization/1jiajie,/funding-round/8f6baef2e6c54477fe0e91a2936d0f0f,venture,A,16/09/2014,4000000
/ORGANIZATION/1LAY,/funding-round/0008af0992808995558ed19069bc14e6,seed,,02/11/2015,210000
/organization/1lay,/funding-round/7a847b8a42893da17ea28d18f6825bc6,seed,,30/05/2014,2000
/ORGANIZATION/1LIFE-HEALTHCARE,/funding-round/3711202f1234c8a7db3fd6ffe5dae750,venture,E,21/03/2013,30000000
/organization/1mind,/funding-round/f4f247d1e883b87b06e244db74b5998e,seed,,05/08/2013,500000
/ORGANIZATION/1MPACT-REVOLUTION-POWERING-HELPFREELY-ORG,/funding-round/027c0a116d990577e68b3e5973b7319f,angel,,01/05/2014,221592
/organization/1mpact-revolution-powering-helpfreely-org,/funding-round/79a4c8a647e32bbe269f5c7489080cf9,private_equity,,01/11/2015,
/ORGANIZATION/1MPACT-REVOLUTION-POWERING-HELPFREELY-ORG,/funding-round/9cfa0c6227634fbac4b4705349f5e85f,seed,,10/09/2013,92582
/organization/1mpact-revolution-powering-helpfreely-org,/funding-round/ff727fc589c2cdcc7e39897c370a0658,angel,,01/05/2015,447061
/ORGANIZATION/1MXIANS,/funding-round/6950448f81c6706abe61f659e15a7c87,venture,A,02/12/2015,15000000
/organization/1o1media,/funding-round/ca2f0c3e09d52a41c8388101bb68eb53,seed,,01/10/2013,
/ORGANIZATION/1REBEL,/funding-round/a5c7a437af6e065280be325ae194f8d6,equity_crowdfunding,,01/09/2014,2572969
/organization/1ring,/funding-round/753b0c5abd7259bc6c9d2e639895aa45,undisclosed,,21/02/2011,
/ORGANIZATION/1RP-MEDIA,/funding-round/f7400a94939ef73f70af0c52b54b31ce,seed,,29/06/2012,
/organization/1sdk,/funding-round/e0c7048c0ba5096ef6d224a69844ef32,seed,,05/08/2013,20000
/ORGANIZATION/1SDK,/funding-round/e98f7a6c2f24e8d9f292e8313d2169ef,seed,,02/09/2013,136000
/organization/1spire,/funding-round/324f74ddfbeaac9ce82809fd6223ea8d,venture,,20/12/2011,30000
/ORGANIZATION/1ST-CHOICE-LAWN-CARE,/funding-round/b661d0de9ad6c103d826c9c2078087a9,equity_crowdfunding,,22/07/2012,
/organization/1st-merchant-funding,/funding-round/ed21cc0e56104c9e20611730a5ebefc1,debt_financing,,07/05/2014,10000000
/ORGANIZATION/1STDIBS,/funding-round/292b074d073fdd9c7e9d8f372c3aa5f6,venture,C,24/01/2014,15000000
/organization/1stdibs,/funding-round/48e005c5ec1d49373ef3e9b54788e942,secondary_market,C,09/09/2015,
/ORGANIZATION/1STDIBS,/funding-round/98684270081eab1407c7da2c97c04998,undisclosed,,03/11/2011,60000000
/organization/1stdibs,/funding-round/d060bf2fd3aabad0ac342d5ef98d1688,venture,,03/12/2012,42000000
/ORGANIZATION/1STDIBS,/funding-round/e9bdbfd0a574dd4dcae6fb60e23f3063,seed,,01/10/2012,
/organization/1stgig-com,/funding-round/accd367ad22c9ce16758f71a70d5e8b3,angel,,01/10/2012,750000
/ORGANIZATION/1V1-DRAFT-GAEMS,/funding-round/687fade5733e30836ee84efc1cfd9d2c,equity_crowdfunding,,28/08/2014,
/organization/1world-online,/funding-round/32936e588a134502712877150198a0b3,venture,A,13/08/2015,2500000
/ORGANIZATION/1WORLD-ONLINE,/funding-round/4e30bd5c85d8163239a3479ec979647a,venture,A,01/12/2013,500000
/organization/1world-online,/funding-round/a349bfd7a8d48cfc8b9fdb79480dea7f,venture,A,02/07/2013,1000000
/ORGANIZATION/2-LADOSHKI,/funding-round/e245ddd36b40591a00c3b861cfc0b154,seed,,24/12/2013,
/organization/2-minutes,/funding-round/fe20792bff60307d97a6242007fa8e51,venture,A,19/06/2008,1660000
/ORGANIZATION/2-NGAGE-U,/funding-round/fec52b74531d46f3842723e0765ccd98,seed,,12/04/2012,58000
/organization/2-observe,/funding-round/1d59ac50e6b45687964d0a34c43490c3,seed,,25/06/2014,204189
/ORGANIZATION/2-PRO-MEDIA-GROUP,/funding-round/2d2be801c69ad6306793c5f81760a866,undisclosed,,01/01/2014,41250
/organization/20-20-gene-systems-inc,/funding-round/1df118940a2af3f77ec91a53c2c2ca79,venture,,23/09/2015,2037014
/ORGANIZATION/20-20-GENE-SYSTEMS-INC,/funding-round/63f491aa5ca433cdd7e7e75b208b2fab,venture,,25/09/2012,150000
/organization/20-20-gene-systems-inc,/funding-round/e8f0f6679abd451e58a78cdbf26f6acd,venture,,30/10/2015,2158413
/ORGANIZATION/20-20-MOBILE,/funding-round/936eeec459522815f5b1b2638ab37fc5,venture,,04/07/2008,29750000
/organization/2080-media,/funding-round/1f7978327212900e42c2f8e57f097da3,debt_financing,,13/05/2011,1000000
/ORGANIZATION/2080-MEDIA,/funding-round/281939941d4818948129b8349dbf5f14,venture,E,30/11/2015,8000000
/organization/2080-media,/funding-round/46f784743707fd4b263c0d8b3bff5adb,debt_financing,,20/12/2012,4300000
/ORGANIZATION/2080-MEDIA,/funding-round/7089d5dc6ba14304a071553e9824d483,venture,D,19/07/2013,26000000
/organization/2080-media,/funding-round/8bc129d726661788a0c2e47996f4f074,debt_financing,,14/05/2015,2507046
/ORGANIZATION/2080-MEDIA,/funding-round/e687ee6d5ec8401f1683b5edc1f534dd,venture,A,05/08/2010,2500000
/organization/2080-media,/funding-round/fbbda7a2eacc73185353890b9028797c,venture,,06/09/2011,7200000
/ORGANIZATION/20LINES,/funding-round/010be4610c75917ad3a95856c6b6c14e,seed,,15/11/2012,114804
/organization/20lines,/funding-round/0e687a86ee81e919e381b372ec43da33,seed,,20/06/2013,321650
/ORGANIZATION/20LINES,/funding-round/da810f9fa3df6b969094540665324e67,seed,,01/06/2014,800000
/organization/20n,/funding-round/3f93f2a4632ea78ebde703940a3ce470,seed,,01/12/2014,120000
/ORGANIZATION/20N,/funding-round/733566eaabbabd4ad7af9a90570d3272,seed,,01/05/2015,2100000
/organization/20x200,/funding-round/4fdee2e1c3fc2a3313dc81c73457162c,venture,A,01/08/2010,2000000
/ORGANIZATION/20X200,/funding-round/95e06cec1140125d6c2924c1a58dc751,venture,A,01/10/2009,800000
/organization/2100b-com-llc,/funding-round/2bd0cee48f02efd7279b00444680d514,seed,,01/01/2013,50000
/ORGANIZATION/2100B-COM-LLC,/funding-round/a266e1464cff1a25312d2ba1a8e787d7,seed,,01/01/2013,
/organization/21cake-food-co,/funding-round/6593ecb9d67c5d9411edbd6aa72eef0b,angel,,22/01/2010,1464128
/ORGANIZATION/21DIAMONDS-INDIA,/funding-round/6de7ffef8091ba9f33821f4b861f434a,venture,C,15/11/2012,6369507
/organization/21e6,/funding-round/b58f3c0c3f9747ecb9c76b106ca211e5,venture,,10/03/2015,116000000
/ORGANIZATION/21E6,/funding-round/bdf9f5bf67ee51155eae223acac57ec5,venture,A,17/11/2013,5050000
/organization/21grams,/funding-round/e81f6084646a05fcaa1e2183a32f1771,venture,,03/04/2006,2580000
/ORGANIZATION/21ST-CENTURY-ONCOLOGY,/funding-round/261bff457e1b31c4879e786ab7cf80ab,private_equity,,26/09/2014,325000000
/organization/21vianet,/funding-round/2345a1c69642393c3fdb4fee85d103b3,post_ipo_equity,,01/12/2012,
/ORGANIZATION/21VIANET,/funding-round/41d0c5939b2d92a468828c14b949895d,venture,C,14/01/2011,
/organization/21vianet,/funding-round/4caea324427c8dc6088b32ffbea82907,venture,B,13/02/2008,
/ORGANIZATION/21VIANET,/funding-round/5b69fb58b6b3cca0dd4fa11644bb57d0,post_ipo_equity,,01/10/2013,100000000
/organization/21vianet,/funding-round/8890faf6c63a59e570ff3a2268994376,venture,,04/12/2014,296000000
/ORGANIZATION/22ND-CENTURY-GROUP,/funding-round/1768b7e0058d3efeaebfe2a211a92599,debt_financing,,28/12/2011,1926250
/organization/22nd-century-group,/funding-round/307ebee01d97c05906041815b0e41839,debt_financing,,18/09/2014,50000
/ORGANIZATION/22ND-CENTURY-GROUP,/funding-round/50617d7ea8eaa838e2fd8eb8dfe06054,venture,,18/09/2014,10000000
